x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,label
50,69,37,56,27,39,32,22,54,24,65,39,68,57,63,76,0
41,73,28,55,25,33,37,20,55,26,70,43,75,66,60,81,0
54,71,39,60,27,45,26,26,46,25,63,35,69,54,71,76,0
44,70,32,54,26,35,38,21,58,26,69,44,70,65,59,79,0
38,76,31,57,28,40,37,23,59,23,74,38,72,57,58,73,0
48,68,39,53,32,37,35,22,52,25,63,41,61,59,56,79,0
47,65,31,54,22,36,37,29,58,31,76,40,78,56,62,65,0
43,62,29,46,23,27,37,21,58,30,75,46,80,65,61,76,0
52,71,39,58,29,43,30,24,48,27,64,40,76,59,71,79,0
48,62,38,51,35,35,38,18,53,27,64,46,64,63,57,76,0
44,70,25,54,22,32,38,26,56,28,71,40,79,59,64,71,0
36,77,23,61,24,40,36,23,59,20,72,37,71,58,58,74,0
47,74,38,60,26,43,28,24,47,18,64,35,71,57,64,76,0
41,63,31,49,19,35,33,25,53,28,71,38,73,59,58,74,0
49,75,32,67,23,47,30,27,52,22,69,35,79,53,69,68,0
51,69,39,53,29,35,32,19,52,25,61,39,67,58,64,78,0
54,73,45,59,33,40,24,21,43,20,64,34,72,55,69,73,0
52,82,45,59,29,45,29,28,50,26,63,39,63,55,62,69,0
47,63,37,52,33,35,41,21,60,28,66,47,62,63,53,78,0
48,70,35,55,25,38,27,23,48,23,64,38,69,58,65,77,0
53,68,38,55,28,41,24,24,41,26,58,41,68,58,69,78,0
46,69,29,58,17,40,28,23,52,24,69,34,79,57,64,70,0
51,70,37,59,22,46,22,27,42,21,61,32,73,51,70,75,0
35,78,27,58,28,39,38,25,57,24,72,39,70,62,54,77,0
57,72,47,58,33,43,25,25,43,31,58,42,70,58,71,78,0
50,78,39,61,27,40,38,24,57,22,71,35,73,54,65,71,0
44,75,31,56,24,37,33,22,52,23,68,34,78,53,66,71,0
47,66,31,49,22,28,37,22,56,28,71,44,72,63,62,78,0
41,65,27,52,21,32,41,25,62,33,74,51,76,72,60,77,0
50,74,39,59,32,40,37,21,52,27,63,40,70,57,65,75,0
47,70,40,52,29,37,29,21,47,16,67,34,72,55,64,77,0
43,75,25,64,24,38,38,20,58,20,73,34,79,56,67,75,0
46,73,34,59,25,39,34,23,53,25,68,40,67,61,60,78,0
40,71,22,60,23,34,42,20,68,23,82,37,78,58,61,73,0
33,79,23,62,25,40,37,22,58,23,73,37,77,58,62,78,0
51,78,43,61,29,46,31,27,50,18,69,28,74,46,65,65,0
53,70,40,58,29,45,27,25,45,24,60,37,66,58,66,79,0
40,62,27,46,22,25,39,25,58,35,72,52,78,72,58,75,0
37,57,30,40,27,24,39,17,56,28,69,46,71,66,55,74,0
52,66,37,55,23,41,23,24,44,29,63,40,76,55,69,71,0
42,69,33,52,35,35,50,26,66,28,72,47,65,64,57,82,0
35,71,22,56,26,30,49,21,73,27,82,45,71,64,53,73,0
47,79,30,59,25,37,38,21,56,26,72,39,76,57,64,72,0
38,69,27,53,22,34,37,24,58,28,77,44,74,64,56,74,0
50,78,41,63,35,45,35,28,48,19,60,34,62,53,59,69,0
46,69,29,53,18,32,32,20,54,26,69,38,75,59,64,79,0
42,71,30,54,22,34,36,22,57,28,70,45,71,63,60,79,0
46,78,34,59,28,40,33,22,53,26,68,41,74,62,62,76,0
41,63,27,48,19,29,36,21,56,32,71,48,76,69,59,80,0
39,68,25,59,21,40,36,26,59,27,78,38,72,58,56,68,0
67,85,62,74,58,63,52,54,48,44,39,34,47,36,37,25,1
69,78,64,71,58,65,55,57,47,49,42,38,36,27,32,16,1
60,79,57,67,52,59,49,51,48,42,44,34,42,26,41,18,1
67,81,63,71,58,62,51,52,46,42,38,33,35,26,28,19,1
54,78,49,72,50,63,49,53,49,42,49,33,49,24,51,15,1
55,83,52,75,49,66,49,58,46,49,47,39,46,28,44,19,1
76,81,67,69,59,61,53,52,47,45,40,38,33,30,26,20,1
58,83,56,76,55,68,52,59,48,50,43,38,40,28,36,20,1
51,80,51,67,52,58,50,49,49,40,49,33,49,26,50,19,1
58,84,55,74,53,63,52,53,49,42,49,31,48,20,42,21,1
60,82,57,74,56,64,53,56,50,49,49,39,44,29,41,20,1
59,81,56,73,56,64,49,59,47,50,42,41,39,31,35,20,1
53,77,42,77,44,63,54,59,45,48,41,35,54,36,49,22,1
65,81,65,72,59,66,58,59,52,52,47,43,40,33,35,22,1
67,75,61,62,55,52,42,51,52,37,31,44,48,21,21,41,1
52,83,53,74,54,64,49,59,49,49,47,39,43,30,41,20,1
53,74,48,65,55,61,49,52,49,42,50,33,52,25,54,14,1
63,81,61,71,49,71,55,61,48,51,43,39,38,30,31,22,1
51,83,50,76,50,68,49,59,49,51,49,42,49,31,50,21,1
76,71,64,68,58,59,51,52,41,43,33,36,25,29,17,23,1
48,83,48,76,48,67,48,56,48,48,48,40,48,31,48,21,1
40,83,43,75,46,65,47,57,50,49,51,38,56,21,52,28,1
51,78,51,67,51,58,50,49,49,40,49,33,51,19,49,26,1
46,80,53,69,44,63,52,55,54,41,44,46,51,31,52,21,1
63,74,55,66,58,59,52,52,45,52,46,41,34,23,34,13,1
56,79,64,74,59,67,57,56,52,49,48,38,39,29,31,18,1
55,78,52,66,51,58,50,49,48,40,48,33,48,26,47,17,1
57,81,52,74,55,62,48,62,49,50,45,41,43,31,40,21,1
69,80,63,72,57,63,52,55,45,50,40,42,34,34,35,23,1
70,79,63,74,56,62,49,49,42,41,40,33,37,26,37,17,1
67,81,63,71,57,60,51,52,47,43,40,34,36,26,33,19,1
